,Cell,MSE,Passed,MAPE
4183,BODGU32L,248.36,0.000000,10.05
5074,BODGU33L,85.48,0.001995,6.49
2840,BODGU37L,366.09,0.000000,10.03
111,BODGUA2L,194.85,0.003992,9.46
1825,BODGUA3L,248.08,0.000000,11.32
1458,BODGUA4L,123.12,0.000000,7.97
1003,BODGUA7L,72.71,0.000000,6.25
4168,BODGUB2L,11.88,0.002046,2.53
2603,BODGUB3L,52.67,0.002013,4.71
1463,BODGUB4L,85.47,0.000000,5.31
3439,BODGUB7L,15.90,0.000000,3.02
1519,BODGUC2L,31.33,0.000000,3.51
2920,BODGUC3L,19.69,0.008022,2.91
3981,BODGUC4L,11.13,0.002048,2.30
316,BODGUC5L,21.21,0.000997,3.28
3247,BODGUC7L,14.16,0.000000,2.59
4018,BODGUD2L,46.73,0.000000,4.82
1952,BODGUD3L,37.64,0.000000,4.47
510,BODGUD4L,97.53,0.000000,5.11
3122,BODGUD5L,22.78,0.000000,3.29
12,BODGUD7L,9.33,0.000000,2.20
1361,BODIK17L,6.14,0.000000,1.89
2713,BODIK22L,48.35,0.000000,3.99
2785,BODIK23L,65.37,0.001551,4.04
874,BODIK24L,371.26,0.000000,13.65
4288,BODIK27L,27.67,0.000000,3.41
1601,BODIK37L,252.02,0.002021,10.04
3334,BODIN11L,24.50,0.000000,3.13
2388,BODIN12L,54.37,0.008021,5.74
3795,BODIN13L,49.97,0.002049,5.53
4047,BODIN14L,81.50,0.000000,7.13
3597,BODIN17L,216.19,0.000000,12.43
311,BODIN21L,19.57,0.001995,3.41
1091,BODIN22L,13.51,0.002042,2.72
234,BODIN23L,24.50,0.000997,2.91
5147,BODIN24L,24.95,0.000000,2.72
2552,BODIN27L,88.83,0.000000,6.75
2265,BODIN31L,16.42,0.000997,3.00
2370,BODIN32L,90.97,0.000000,7.13
739,BODIN33L,53.93,0.002011,5.32
3012,BODIN34L,71.71,0.000997,5.77
3525,BODIN37L,140.21,0.000000,9.00
3815,BODLE17L,18.19,0.000000,2.92
3072,BODLE27L,28.59,0.008019,3.93
1155,BODLE32L,34.25,0.000000,4.50
1533,BODLE33L,37.02,0.000000,4.62
2099,BODLE37L,38.78,0.000000,4.78
2048,BODMA11L,71.33,0.008024,6.53
4949,BODMA12L,54.42,0.000000,5.45
2123,BODMA17L,99.35,0.000000,4.49
2504,BODMA21L,17.23,0.000997,2.97
4334,BODMA22L,51.25,0.000000,4.70
806,BODMA27L,22.11,0.000997,3.04
3650,BODMA77L,342.59,0.000000,14.44
110,BODMR17L,53.66,0.001996,5.43
3727,BODMR27L,1430.69,0.008047,27.03
3269,BODMR37L,34.61,0.000000,4.34
109,BODOZ17L,8.81,0.001991,2.27
3928,BODOZ27L,139.37,0.008054,7.61
2281,BODOZ37L,25.53,0.000000,3.85
1428,BODOZ77L,107.74,0.000000,8.25
1403,BODPI11L,20.10,0.000000,3.11
592,BODPI12L,76.39,0.000998,6.59
3393,BODPI13L,59.43,0.000000,5.92
380,BODPI17L,137.97,0.000000,8.20
506,BODPI21L,90.39,0.000000,7.14
1167,BODPI22L,174.41,0.000000,9.98
2287,BODPI23L,149.94,0.008035,8.80
2336,BODPI27L,102.86,0.000000,7.38
1662,BODPI31L,47.30,0.000000,4.74
4901,BODPI32L,179.12,0.000000,9.26
2134,BODPI33L,105.89,0.008041,8.30
4226,BODPI37L,88.33,0.000000,6.04
3691,BODRA12L,378.02,0.008015,14.49
4266,BODRA13L,145.90,0.002046,8.83
1138,BODRA17L,143.26,0.001994,8.90
1721,BODRA22L,34.14,0.002015,4.30
4752,BODRA23L,23.01,0.000000,3.65
3400,BODRA27L,67.19,0.000000,4.99
3674,BODRA77L,273.43,0.002013,12.34
3710,BODTG17L,64.67,0.000000,5.55
5176,BODTG27L,44.80,0.001995,3.47
1700,BODTK17L,23.25,0.000000,3.30
2736,BODTK22L,43.58,0.000000,4.60
3211,BODTK23L,25.18,0.000997,3.65
4211,BODTK27L,31.82,0.002013,4.13
789,BODTK37L,50.77,0.000997,5.17
1551,BODTT11L,6.98,0.000000,1.88
3905,BODTT12L,9.60,0.000000,2.24
3046,BODTT13L,9.65,0.000000,2.27
245,BODTT14L,31.39,0.000997,4.45
2461,BODTT17L,9.23,0.008017,2.25
2594,BODTT21L,9.31,0.000000,2.17
1385,BODTT22L,11.96,0.000000,2.67
1352,BODTT23L,11.66,0.000000,2.31
5068,BODTT24L,40.45,0.000000,4.54
2002,BODTT27L,2.66,0.008045,1.31
402,BODTT31L,14.17,0.008042,2.40
55,BODTT32L,154.44,0.001995,8.88
3497,BODTT33L,79.18,0.000000,7.01
981,BODTT34L,157.36,0.000000,8.65
3493,BODTT37L,2.44,0.000000,0.97
4536,BODTV12L,31.19,0.002011,2.65
2693,BODTV13L,11.46,0.004000,2.57
4801,BODTV17L,4.99,0.000000,1.60
4019,BODUN12L,36.85,0.000000,4.65
1923,BODUN13L,38.92,0.000000,4.44
2715,BODUN17L,25.75,0.000000,3.81
1592,BODUN22L,42.61,0.008019,3.80
72,BODUN27L,4.93,0.001995,1.62
922,BODUN77L,700.57,0.000000,19.78
1431,BODYA11L,40.40,0.000000,3.17
3509,BODYA12L,39.45,0.002014,4.98
3600,BODYA13L,49.30,0.000000,5.25
1561,BODYA14L,79.99,0.000000,5.30
1464,BODYA15L,29.74,0.002015,3.13
662,BODYA17L,39.65,0.008044,4.42
1853,BODYA21L,9.73,0.000000,1.87
3665,BODYA22L,87.28,0.000000,6.15
2362,BODYA23L,47.28,0.000997,4.58
1130,BODYA24L,45.69,0.002014,5.02
3825,BODYA25L,18.61,0.000000,2.77
3398,BODYA27L,86.05,0.000000,5.65
3187,BODYA31L,12.62,0.002014,2.39
799,BODYA32L,74.84,0.000000,6.51
2737,BODYA33L,96.54,0.000000,7.20
1882,BODYA34L,66.76,0.000000,5.05
2410,BODYA35L,25.24,0.000000,3.41
2216,BODYA37L,112.38,0.000000,7.73
1170,BOGOL11L,29.85,0.000000,3.98
209,BOGOL12L,51.73,0.001000,5.18
231,BOGOL13L,40.93,0.000997,4.73
1990,BOGOL14L,61.57,0.008021,3.70
3207,BOGOL15L,31.17,0.000000,4.07
2930,BOGOL17L,69.35,0.000000,6.04
2584,BOGOL21L,17.91,0.000000,2.78
2997,BOGOL22L,31.09,0.008012,4.01
3337,BOGOL23L,91.76,0.001995,5.76
2633,BOGOL24L,31.33,0.008014,2.29
1834,BOGOL25L,40.52,0.008032,4.03
2325,BOGOL27L,74.25,0.000000,4.56
1408,BOGOL31L,22.32,0.008014,3.71
1936,BOGOL32L,77.64,0.002013,6.08
891,BOGOL33L,88.46,0.000000,7.32
1062,BOGOL37L,78.22,0.000000,5.68
1208,BOHEK11L,15.01,0.000000,2.86
5112,BOHEK12L,134.85,0.008029,6.84
655,BOHEK13L,75.51,0.008023,6.74
754,BOHEK14L,85.82,0.002013,6.17
4304,BOHEK17L,283.82,0.000000,11.44
645,BOHEK22L,266.39,0.008019,12.68
4390,BOHEK23L,312.41,0.000000,13.60
3047,BOHEK27L,507.55,0.002021,16.92
2823,BOISL12L,33.25,0.000000,4.35
1656,BOISL17L,13.37,0.000000,2.78
1151,BOISL27L,24.27,0.008026,3.49
4746,BOISL32L,37.58,0.000000,2.61
2940,BOISL33L,10.81,0.000995,2.10
4655,BOISL34L,25.11,0.000000,3.29
2733,BOISL35L,10.45,0.000000,2.14
895,BOISL37L,8.04,0.000997,1.63
4352,BOKAC12L,14.94,0.000000,2.03
2639,BOKAC13L,6.10,0.002010,1.83
79,BOKAC14L,2.59,0.000997,1.02
2567,BOKAC15L,2.98,0.000000,1.38
1651,BOKAC17L,7.94,0.000000,1.61
3017,BOKAC27L,13.50,0.000000,2.78
