,Cell,MSE,Passed,MAPE
2260,BOMCA13L,3.51,0.008017,1.43
4040,BOMCA17L,24.71,0.000000,1.52
4123,BOMCA21L,0.75,0.000000,0.70
218,BOMCA22L,0.29,0.000000,0.44
1651,BOMCA23L,0.72,0.000000,0.69
670,BOMCA27L,0.18,0.000000,0.33
3983,BOMCA31L,21.60,0.000000,3.30
395,BOMCA32L,15.08,0.000000,2.97
3575,BOMCA33L,45.97,0.002048,4.92
4094,BOMCA37L,49.91,0.000000,6.17
4105,BOMEY11L,22.34,0.000000,2.88
1554,BOMEY12L,30.98,0.000000,4.27
4373,BOMEY13L,14.70,0.000000,2.85
603,BOMEY14L,37.47,0.000000,3.82
2592,BOMEY17L,40.46,0.000000,3.97
807,BOMEY21L,45.55,0.002017,4.13
1486,BOMEY22L,74.15,0.000000,6.69
1898,BOMEY23L,56.39,0.000000,5.49
1358,BOMEY24L,27.25,0.002883,3.09
184,BOMEY27L,33.81,0.008051,4.22
2781,BOMEY31L,29.30,0.000000,3.98
3803,BOMEY32L,33.66,0.004001,4.50
3026,BOMEY33L,16.23,0.000000,2.71
2569,BOMEY34L,27.65,0.000000,3.96
21,BOMEY37L,31.84,0.000000,4.31
1673,BOMLA11L,6.69,0.002046,1.85
3979,BOMLA12L,196.14,0.008051,4.31
538,BOMLA17L,10.84,0.000000,2.68
4027,BOMLA21L,10.78,0.002020,2.13
2486,BOMLA22L,19.37,0.000000,3.38
2909,BOMLA27L,3.21,0.008018,1.15
4937,BOMLA31L,13.48,0.002047,2.88
3504,BOMLA32L,60.93,0.008037,5.36
4125,BOMLA37L,32.30,0.000000,4.63
983,BOMOV11L,1.72,0.000000,0.96
1810,BOMOV12L,7.32,0.000000,1.93
4011,BOMOV13L,3.64,0.000000,1.50
1919,BOMOV17L,11.16,0.000000,2.05
2910,BOMOV21L,35.61,0.000000,4.20
2747,BOMOV22L,54.93,0.000000,5.71
1801,BOMOV31L,4.48,0.000000,1.59
3501,BOMOV32L,9.35,0.002016,2.31
1283,BOMOV33L,20.19,0.000000,3.37
3211,BOMOV37L,3.03,0.000000,1.37
3788,BOMUM11L,9.17,0.000000,2.12
2771,BOMUM12L,0.92,0.000000,0.74
902,BOMUM13L,16.05,0.008031,1.11
430,BOMUM14L,36.91,0.000000,4.45
5129,BOMUM15L,27.33,0.000000,4.12
3606,BOMUM17L,36.52,0.000000,4.90
369,BOMUM21L,1.08,0.000000,0.89
4499,BOMUM24L,1.69,0.000000,0.93
5194,BOMUM25L,3.43,0.000000,1.22
1990,BOMUM31L,4.07,0.008017,1.66
1848,BOMUM32L,16.45,0.000000,2.97
1054,BOMUM33L,17.52,0.008028,3.27
2282,BOMUM34L,26.20,0.000000,3.36
4382,BOMUM35L,31.34,0.000000,2.54
2159,BOMUM37L,13.22,0.000000,2.85
917,BOMUMA2L,63.88,0.000000,6.48
3347,BOMUMA3L,35.21,0.000000,5.04
3264,BOMUMA7L,82.91,0.000000,7.03
4639,BOMUMB2L,43.97,0.002047,5.59
3042,BOMUMB3L,2.65,0.000000,1.52
1391,BOMUMB7L,22.47,0.000000,3.71
168,BOMUMC2L,86.21,0.000000,6.07
3550,BOMUMC3L,15.12,0.000000,2.85
4204,BOMUMC7L,122.21,0.000000,5.16
4950,BOMUMD2L,36.70,0.000000,4.87
4505,BOMUMD3L,46.49,0.000000,6.14
4736,BOMUMD7L,22.02,0.000000,3.23
5197,BOPAK17L,162.68,0.000000,8.64
342,BOPAK27L,277.32,0.008053,13.00
1483,BOPAK37L,316.26,0.000000,11.68
20,BOPAK77L,128.20,0.000000,8.62
2502,BOSAD17L,117.88,0.000000,7.83
3071,BOSAD27L,47.82,0.000000,5.33
3322,BOSAD37L,31.60,0.000000,4.19
1511,BOSAT11L,21.21,0.002015,3.42
1685,BOSAT12L,40.35,0.008027,3.62
437,BOSAT13L,73.33,0.002044,6.03
1076,BOSAT14L,20.95,0.002044,3.42
3474,BOSAT17L,146.77,0.000000,7.54
4002,BOSAT21L,21.05,0.000000,2.91
4745,BOSAT22L,42.89,0.000000,4.91
1405,BOSAT23L,37.00,0.000000,4.97
1703,BOSAT24L,13.26,0.000000,2.76
3779,BOSAT27L,17.74,0.000000,2.92
2712,BOSAT31L,6.79,0.008016,2.04
1420,BOSAT32L,81.68,0.008054,7.30
2578,BOSAT33L,113.63,0.002046,8.13
2318,BOSAT37L,141.34,0.000000,10.01
2670,BOSET12L,86.09,0.002019,7.29
1281,BOSET13L,100.31,0.000000,7.53
4821,BOSET14L,60.93,0.000000,5.87
1263,BOSET17L,126.12,0.008029,8.24
4610,BOSET22L,80.27,0.000000,6.74
3801,BOSET23L,100.43,0.002019,7.89
486,BOSET24L,36.94,0.002048,4.63
2391,BOSET27L,216.34,0.000000,10.17
2351,BOSEV17L,53.66,0.000000,4.39
1481,BOSEV27L,18.80,0.000000,3.09
