,Cell,MSE,Passed,MAPE
1934,MERTU23L,23.39,0.002020,3.54
1892,MERTU27L,15.36,0.000000,2.71
718,MERTU31L,22.20,0.000000,3.28
4983,MERTU32L,46.24,0.008011,4.21
452,MERTU33L,22.86,0.000000,3.49
159,MERTU37L,48.02,0.000000,4.64
282,MEYBO12L,82.03,0.000000,6.72
1411,MEYBO13L,52.26,0.008016,5.83
2300,MEYBO14L,38.28,0.000000,4.53
2752,MEYBO17L,136.84,0.000000,8.16
1738,MEYBO22L,102.54,0.000000,7.37
1354,MEYBO23L,77.62,0.000000,6.36
2604,MEYBO24L,59.89,0.000000,5.65
3146,MEYBO27L,75.35,0.008016,6.62
4690,MITOW11L,12.62,0.002022,2.67
2090,MITOW12L,23.14,0.008023,3.71
4211,MITOW13L,45.44,0.000000,5.19
3598,MITOW17L,21.72,0.000000,3.70
644,MITOW21L,8.16,0.000000,2.02
1898,MITOW22L,8.37,0.000000,2.15
4588,MITOW23L,12.56,0.000000,2.50
259,MITOW27L,12.02,0.000000,2.38
3794,MITOW31L,40.77,0.004606,4.52
4177,MITOW32L,21.59,0.000000,3.44
157,MITOW33L,22.15,0.000000,3.78
5006,MITOW37L,24.50,0.000000,4.03
3910,MITOW77L,62.24,0.000000,4.95
3288,MITOW87L,128.90,0.008053,8.90
4956,MIVAR12L,27.57,0.000000,3.98
1630,MIVAR17L,178.33,0.008025,9.02
3455,MIVAR22L,306.89,0.008046,11.92
276,MIVAR23L,90.90,0.000000,5.97
5000,MIVAR27L,25.36,0.000000,3.57
3300,MIVAR77L,247.40,0.000000,12.55
3691,MLTOF11L,8.87,0.000000,2.33
3366,MLTOF12L,53.30,0.002017,5.66
3052,MLTOF13L,48.98,0.000000,5.49
624,MLTOF14L,154.47,0.000000,9.57
219,MLTOF21L,37.02,0.000000,4.15
2213,MLTOF22L,29.80,0.000000,3.95
3311,MLTOF23L,35.84,0.000000,3.81
4876,MLTOF24L,42.48,0.000000,5.01
2707,MLTOF31L,6.05,0.000000,1.45
3515,MLTOF32L,91.01,0.002017,6.49
1391,MLTOF33L,55.26,0.005505,5.36
2054,MLTOF34L,147.02,0.000000,7.37
1988,MOB7F12L,21.26,0.000000,3.56
860,MOB7F14L,107.79,0.000000,7.05
1942,MOB7F17L,16.77,0.000000,3.62
2256,MOB7F22L,32.84,0.002019,3.80
3902,MOB7F24L,235.15,0.000000,9.97
3766,MOB7F27L,4235466472582174.00,0.000041,26568987.36
5127,MOB7F32L,8.44,0.000000,2.07
1459,MOB7F34L,185.75,0.008046,8.83
314,MOB7F37L,0.42,0.002045,0.61
1830,MOBZ012L,49.35,0.002022,5.14
523,MOBZ013L,84.63,0.001843,4.90
3280,MOBZ014L,66.35,0.008031,6.18
4434,MOBZ022L,28.77,0.000000,4.10
362,MOBZ023L,85.96,0.002048,5.64
1612,MOBZ024L,50.64,0.000000,5.54
4595,MOBZ032L,18.82,0.000000,3.09
2247,MOBZ033L,24.95,0.006950,2.96
2774,MOBZ034L,67.06,0.000000,5.41
3723,MUCAM11L,8.24,0.000000,1.67
3936,MUCAM12L,16.30,0.008017,2.64
845,MUCAM13L,58.68,0.000000,5.07
4491,MUCAM17L,55.89,0.000000,5.65
3749,MUCAM21L,59.09,0.000000,5.21
739,MUCAM22L,85.24,0.000000,7.00
3659,MUCAM23L,161.89,0.000000,8.42
3664,MUCAM27L,90.27,0.000000,7.35
5097,MUCAM31L,30.82,0.000000,4.30
5110,MUCAM32L,139.60,0.000000,9.58
2532,MUCAM33L,176.25,0.000000,9.73
3904,MUCAM37L,199.14,0.000000,10.47
5158,MVITT11L,8.96,0.000000,2.01
864,MVITT17L,80.02,0.002051,5.30
4722,MVITT21L,35.82,0.000000,3.87
4030,MVITT22L,25.93,0.000000,3.29
360,MVITT23L,6.47,0.000000,1.77
237,MVITT31L,26.78,0.008048,3.20
3423,MVITT32L,40.37,0.000000,4.44
1956,MVITT33L,43.30,0.000000,4.21
598,MVITT34L,43.03,0.000000,4.07
3829,MVITT37L,188.37,0.000000,5.58
1590,MVTRA11L,3.31,0.002017,1.43
1647,MVTRA12L,18.24,0.000000,2.75
2581,MVTRA13L,33.66,0.000000,3.43
4180,MVTRA21L,17.85,0.000000,2.12
1531,MVTRA22L,22.96,0.008034,3.30
2509,MVTRA23L,41.56,0.002016,4.23
2572,MVTRA24L,47.97,0.000000,5.41
2496,MVTRA27L,33.76,0.000000,4.03
725,MVTRA31L,8.16,0.000000,1.76
3647,MVTRA32L,32.42,0.000000,3.52
3227,MVTRA33L,24.58,0.000000,3.34
2575,MVTRA37L,26.79,0.000000,3.73
2185,MYNDS11L,5.32,0.000000,1.62
3082,MYNDS12L,45.25,0.008050,4.16
1163,MYNDS13L,40.76,0.000000,4.34
2671,MYNDS17L,87.52,0.000000,6.31
1650,MYNDS22L,125.33,0.000000,8.72
4761,MYNDS23L,234.02,0.002049,11.03
4127,MYNDS27L,87.92,0.000000,5.86
1783,MYNDS32L,42.43,0.000000,4.71
4501,MYNDS33L,49.73,0.000000,5.09
3750,MYNDS37L,78.52,0.000000,5.65
2388,NEMAR11L,5.99,0.000000,1.80
916,NEMAR12L,62.12,0.000000,6.01
3190,NEMAR13L,54.34,0.000000,5.09
1172,NEMAR21L,12.13,0.000000,2.58
3816,NEMAR22L,148.30,0.000000,9.91
4095,NEMAR23L,106.63,0.002017,7.84
3087,NEMAR31L,24.31,0.000000,3.85
1070,NEMAR32L,69.68,0.000000,5.75
4658,NEMAR33L,74.49,0.000000,5.57
967,NENEJ17L,73.92,0.008019,5.57
4341,NENEJ27L,24.03,0.000000,3.84
1658,NENEJ37L,46.99,0.000000,5.32
2116,NERGC12L,11.51,0.000000,2.69
4654,NERGC13L,12.91,0.000000,2.58
3422,NERGC17L,6.47,0.000000,1.82
1727,NERGC27L,16.00,0.000000,3.08
2571,NERGC37L,30.60,0.008048,4.05
3948,NERGC47L,3.93,0.000000,1.44
1244,NERIZ17L,14.11,0.008021,2.77
4201,NERIZ27L,16.79,0.000000,2.90
1165,NERIZ37L,18.93,0.000000,2.77
35,NIKKI11L,48.58,0.000000,4.83
589,NIKKI12L,192.68,0.000000,11.05
881,NIKKI13L,162.15,0.000000,9.60
482,NIKKI17L,113.70,0.000000,8.13
3379,NIKKI21L,47.18,0.000000,4.82
642,NIKKI27L,499.45,0.002014,15.53
2513,NIKKI77L,312.02,0.000000,12.64
1446,NIKKI87L,487.13,0.000000,17.19
3768,OASIS11L,67.32,0.002023,4.76
4194,OASIS12L,230.06,0.000000,9.61
3103,OASIS13L,130.91,0.000000,8.04
1259,OASIS17L,113.11,0.000000,8.27
3136,OASIS21L,17.34,0.007999,3.05
4621,OASIS22L,94.64,0.000000,7.29
305,OASIS23L,47.66,0.000000,5.11
4231,OASIS24L,132.60,0.000000,6.34
2428,OASIS27L,158.88,0.008022,7.07
1345,OKENT17L,40.27,0.000000,4.88
3240,OKENT22L,29.22,0.000000,3.70
1308,OKENT23L,42.42,0.000000,4.75
3947,OKENT27L,69.91,0.000000,4.17
2130,OKENT32L,89.25,0.000000,5.76
3826,OKENT37L,117.94,0.000000,6.64
2455,ORGEZ12L,39.40,0.002015,4.77
3753,ORGEZ13L,82.66,0.005840,7.14
2848,ORGEZ22L,63.83,0.000000,5.45
4874,ORGEZ23L,116.85,0.002013,8.40
1628,ORKAP12L,6.19,0.000000,1.86
3304,ORKAP13L,17.35,0.000000,2.72
2874,ORKAP14L,29.75,0.000000,4.50
4688,ORKAP17L,16.85,0.000000,2.71
90,ORKAP22L,23.83,0.000000,2.74
647,ORKAP23L,13.76,0.008015,2.65
588,ORKAP24L,24.23,0.000000,3.28
5059,ORKAP27L,38.71,0.000000,4.39
3611,ORKEN12L,94.59,0.000000,5.74
1796,ORKEN13L,47.62,0.000000,4.04
1216,ORKEN16L,233.06,0.002014,11.79
2699,ORKEN17L,51.31,0.000000,4.45
2508,ORKEN22L,38.25,0.000000,4.10
2330,ORKEN23L,24.17,0.000000,3.08
1043,ORKEN26L,136.91,0.000000,9.00
3138,ORKEN27L,18.68,0.000000,3.12
2223,ORKEN32L,119.93,0.000000,7.40
4903,ORKEN33L,142.96,0.000000,6.50
1106,ORKEN36L,1968.67,0.000000,39.55
1482,ORKEN37L,107.56,0.000000,6.73
893,ORMAZ11L,279.38,0.002015,13.41
4283,ORMAZ17L,304.55,0.000000,12.05
2381,ORMAZ21L,17.22,0.000000,3.01
5124,ORMAZ22L,75.37,0.008025,6.36
1870,ORMAZ23L,282.39,0.000000,10.46
3895,ORMAZ27L,234.23,0.000000,10.97
3054,ORMAZ31L,49.29,0.000000,5.13
260,ORMAZ32L,83.26,0.002057,6.92
3917,ORMAZ33L,170.83,0.000000,9.96
216,ORMAZ37L,262.89,0.000000,11.13
3361,ORYAH11L,8.90,0.000000,2.23
4298,ORYAH12L,46.43,0.002045,5.15
3656,ORYAH13L,83.81,0.000000,5.95
1341,ORYAH14L,52.10,0.002050,5.07
1359,ORYAH15L,24.66,0.000042,3.53
247,ORYAH17L,79.54,0.002044,7.09
3039,ORYAH27L,17.84,0.002051,3.21
5071,ORZUB17L,8.96,0.000000,2.39
1821,ORZUB27L,8.22,0.000000,2.05
2424,OTOSI17L,43.04,0.000000,4.58
1524,OTOSI27L,7.67,0.000000,2.03
4146,OTOYU11L,4.33,0.000000,1.40
3704,OTOYU12L,52.10,0.002047,5.17
4471,OTOYU13L,43.51,0.000000,4.78
4296,OTOYU17L,31.09,0.000000,4.06
2445,OTOYU21L,9.72,0.000000,2.32
2490,OTOYU22L,39.47,0.000000,4.95
1546,OTOYU23L,30.48,0.000000,3.37
1657,OTOYU27L,85.32,0.000000,6.69
4422,OTOYU31L,1.56,0.000000,0.87
889,OTOYU32L,16.15,0.008022,2.81
3789,OTOYU33L,14.37,0.000000,2.88
2891,OTOYU37L,33.76,0.000000,4.40
2464,PALIF12L,667.42,0.002018,15.08
4867,PALIF13L,85.46,0.002047,7.49
5024,PALIF17L,192.62,0.000000,10.31
506,PALIF22L,60.42,0.000000,5.34
749,PALIF23L,64.88,0.000000,5.35
4948,PALIF27L,22.25,0.000000,3.06
4403,PALIF77L,569.19,0.000000,15.93
