,Cell,MSE,Passed,MAPE
4994,BITTV15L,64.22,0.000000,5.87
1345,BITTV17L,96.91,0.000000,7.75
1400,BITTV21L,74.08,0.000000,5.94
2853,BITTV22L,288.93,0.002014,12.36
1337,BITTV23L,196.21,0.000000,10.49
3222,BITTV24L,146.92,0.000000,9.57
1988,BITTV27L,239.29,0.000000,11.90
3818,BITTV31L,53.61,0.000000,4.70
4364,BITTV32L,220.88,0.000000,11.46
4513,BITTV33L,371.45,0.010040,12.35
1299,BITTV34L,250.34,0.000000,11.24
4357,BITTV35L,54.62,0.008046,4.98
90,BITTV37L,216.64,0.010107,10.55
4114,BOACB11L,18.19,0.000997,2.50
3344,BOACB12L,32.19,0.000039,3.92
119,BOACB13L,7.03,0.000000,2.00
1863,BOACB17L,3.03,0.000000,1.49
995,BOACB21L,10.59,0.000000,2.35
2426,BOACB22L,31.74,0.000000,3.38
62,BOACB23L,46.22,0.000000,3.15
1593,BOACB27L,24.38,0.000000,3.91
1304,BOACB31L,9.68,0.000000,2.39
2876,BOACB32L,33.20,0.000000,4.38
3463,BOACB33L,41.36,0.000000,3.07
1686,BOACB34L,20.60,0.000000,2.48
3005,BOACB37L,22.94,0.000000,3.54
1683,BOACB72L,123.77,0.002008,8.35
4806,BOASA12L,84.28,0.000000,7.74
272,BOASA13L,151.40,0.000000,9.74
4844,BOASA14L,184.93,0.008025,8.68
4565,BOASA17L,150.32,0.000000,9.07
4031,BOASA22L,202.09,0.002017,10.38
3983,BOASA23L,146.74,0.008034,8.82
2375,BOASA24L,99.48,0.008050,8.20
339,BOASA27L,64.71,0.000000,6.69
2253,BOBAG11L,33.25,0.002043,4.42
406,BOBAG12L,241.31,0.000000,12.26
1933,BOBAG13L,143.39,0.008017,9.41
3613,BOBAG14L,294.71,0.008016,12.36
132,BOBAG15L,84.09,0.002010,7.50
883,BOBAG17L,218.33,0.010033,11.17
730,BOBAG21L,159.24,0.002017,9.35
1341,BOBAG22L,291.09,0.001474,13.01
1522,BOBAG23L,285.78,0.008052,12.11
2609,BOBAG24L,270.87,0.002011,13.47
1730,BOBAG27L,285.95,0.001995,13.34
99,BOBAG31L,183.55,0.008056,8.81
780,BOBAG32L,256.39,0.000000,11.81
911,BOBAG33L,174.24,0.008045,10.91
1715,BOBAG37L,297.44,0.000000,10.97
4078,BOBAR11L,46.96,0.000000,5.89
3288,BOBAR12L,56.40,0.000000,5.58
1738,BOBAR13L,37.66,0.002015,4.49
4946,BOBAR17L,104.95,0.000000,7.43
2356,BOBAR21L,41.19,0.000000,5.01
1433,BOBAR22L,120.33,0.001992,8.48
490,BOBAR23L,124.15,0.008041,8.60
38,BOBAR27L,1126.77,0.000000,30.75
2716,BOBYL12L,61.64,0.000000,5.33
1903,BOBYL13L,109.31,0.000000,8.50
2729,BOBYL14L,162.69,0.000000,10.42
2923,BOBYL17L,257.68,0.000000,9.65
2649,BOBYL27L,214.28,0.008047,10.81
3879,BOCAP17L,83.51,0.000000,7.19
3571,BOCAP22L,114.05,0.008023,8.27
3472,BOCAP23L,93.74,0.000000,6.91
401,BOCAP27L,54.15,0.002045,5.78
235,BOCAP37L,90.48,0.000000,6.99
630,BOCIF12L,59.28,0.000000,6.58
2925,BOCIF13L,29.32,0.000000,4.47
3550,BOCIF14L,96.42,0.000000,5.36
3221,BOCIF17L,36.43,0.000000,3.63
4456,BOCIF22L,57.82,0.000000,6.28
5009,BOCIF23L,34.69,0.000000,4.67
4109,BOCIF24L,40.93,0.000000,4.97
1866,BOCIF27L,33.92,0.000967,4.76
2829,BOCIF37L,234.03,0.008024,10.50
151,BOCIM17L,68.90,0.000000,6.59
958,BOCIM21L,29.48,0.002045,4.45
4492,BOCIM27L,55.15,0.002010,5.31
156,BOCIM31L,4.76,0.000000,1.73
3013,BOCIM37L,59.70,0.000000,6.40
2239,BOCIM77L,245.97,0.000000,11.95
192,BOCIR12L,148.52,0.002997,9.62
1798,BOCIR13L,48.05,0.000000,5.48
1305,BOCIR17L,108.03,0.002992,7.36
3302,BOCRS11L,32.06,0.000000,4.44
2598,BOCRS12L,366.73,0.000000,15.23
1632,BOCRS13L,252.30,0.000000,12.40
2726,BOCRS17L,240.81,0.000000,11.23
2843,BOCRS21L,7.31,0.008022,2.07
1500,BOCRS22L,157.27,0.000000,9.51
4355,BOCRS23L,226.43,0.000998,10.86
1886,BOCRS24L,164.96,0.008012,9.30
888,BOCRS27L,267.18,0.000000,13.67
3880,BOCRS37L,203.97,0.000000,10.52
2617,BOD0112L,89.58,0.000000,7.24
2504,BOD0122L,154.07,0.008023,10.12
2430,BODAG17L,94.96,0.000000,7.39
876,BODAG22L,54.71,0.000000,5.71
2244,BODAG23L,46.05,0.008054,5.31
4331,BODAG24L,34.05,0.000965,4.58
3448,BODAG27L,19.35,0.008020,3.65
1058,BODAG37L,22.09,0.008047,3.42
1370,BODAL17L,62.20,0.000000,5.52
2495,BODAL27L,28.89,0.000000,4.57
1231,BODAR11L,22.21,0.008016,3.52
2593,BODAR12L,66.32,0.000000,6.81
2067,BODAR13L,244.25,0.000000,14.29
3959,BODAR17L,61.81,0.000000,5.93
4069,BODAR21L,36.57,0.002017,3.85
1890,BODAR22L,26.31,0.008027,3.77
4865,BODAR23L,34.04,0.000000,3.97
595,BODAR24L,46.70,0.008045,5.18
571,BODAR27L,49.30,0.000000,5.51
668,BODAR31L,16.08,0.000000,2.91
5158,BODAR32L,158.14,0.002017,8.52
1455,BODAR33L,117.95,0.008015,8.44
3667,BODAR37L,203.07,0.000000,10.95
3549,BODCA17L,356.06,0.000000,14.86
924,BODCA27L,64.45,0.000000,6.16
4589,BODDM11L,5.10,0.000000,1.67
3342,BODDM12L,95.43,0.000000,7.54
2262,BODDM13L,78.10,0.008022,6.84
670,BODDM14L,55.00,0.000000,5.92
1473,BODDM15L,44.77,0.000000,4.79
160,BODDM17L,74.74,0.000000,6.84
1432,BODDM21L,13.29,0.001998,2.39
3729,BODDM22L,37.47,0.000000,5.21
4627,BODDM23L,57.47,0.000000,4.87
1424,BODDM24L,86.22,0.000000,7.01
2458,BODDM25L,30.19,0.000000,4.13
830,BODDM27L,72.03,0.008012,6.60
491,BODEM11L,42.95,0.000000,4.74
891,BODEM17L,109.14,0.008047,7.79
3187,BODEM21L,12.26,0.000000,2.65
1418,BODEM22L,108.49,0.008019,9.49
4455,BODEM23L,23.20,0.000000,3.53
3399,BODEM24L,48.54,0.000000,4.98
1143,BODEM27L,36.75,0.010096,3.99
4964,BODEM31L,21.43,0.000000,3.56
4447,BODEM32L,53.98,0.002015,5.80
1568,BODEM33L,18.38,0.002043,3.08
4394,BODEM37L,38.76,0.000000,4.14
4440,BODEN17L,131.44,0.010040,7.59
1264,BODEN27L,254.94,0.000000,13.24
1883,BODEN37L,58.14,0.001996,6.02
5069,BODEN77L,325.74,0.008030,14.17
231,BODES11L,16.76,0.015625,2.99
2022,BODES12L,156.05,0.002993,9.48
501,BODES13L,104.87,0.000000,7.46
2252,BODES14L,904.05,0.008012,28.02
252,BODES27L,202.94,0.000000,10.47
1910,BODES31L,8.33,0.000962,2.09
870,BODES32L,34.99,0.002044,4.09
3119,BODES33L,36.78,0.002013,4.68
5131,BODES34L,59.72,0.000000,5.57
4571,BODES37L,38.59,0.000997,4.78
1607,BODGA17L,53.92,0.000000,6.15
2004,BODGA27L,92.99,0.000000,7.97
1997,BODGA37L,89.35,0.002992,7.27
4072,BODGA77L,318.27,0.008010,14.89
