,Cell,MSE,Passed,MAPE
5035,CWSIF27L,78.72,0.000000,6.70
5036,BOTAN21L,10.77,0.003995,2.29
5037,BOGOL33L,103.85,0.003995,8.13
5038,KRCUM27L,84.36,0.000000,7.53
5039,KRDOR21L,17.24,0.000000,3.10
5040,KORAG31L,3.77,0.000000,1.51
5041,CESOV17L,10.03,0.000000,2.42
5042,KRTHC22L,8.76,0.000000,2.28
5043,S640727L,61.94,0.000000,5.69
5044,BOSAT13L,77.27,0.000000,6.33
5045,B178717L,132.34,0.003995,9.09
5046,XANDU32L,60.50,0.003985,6.37
5047,KRTSU53L,33.95,0.000000,3.76
5048,YAHAK17L,173.51,0.000000,10.95
5049,GAZBO21L,45.67,0.003996,4.76
5050,KSBAH21L,32.92,0.000000,3.02
5051,GUSAZ37L,50.00,0.000000,5.36
5052,KAROT13L,13.72,0.000000,2.98
5053,YAGOKC4L,64.59,0.016045,5.95
5054,PAYAL72L,150.14,0.000000,10.01
5055,ALMET11L,6.74,0.000000,1.87
5056,ILSAH13L,66.11,0.011986,6.19
5057,KARFT23L,23.31,0.000000,3.66
5058,SEYBO17L,95.60,0.000000,7.96
5059,REGES16L,38.82,0.000000,5.28
5060,BOMUM31L,3.94,0.000000,1.64
5061,BODMA12L,64.02,0.000000,6.33
5062,SWMUG12L,218.17,0.007993,11.91
5063,CEVGR22L,34.33,0.003996,4.65
5064,CEHAV27L,285.57,0.003995,11.74
5065,CESOV13L,13.29,0.000000,2.72
5066,KEFAL14L,227.61,0.002347,11.13
5067,APORT13L,136.53,0.000000,8.71
5068,GBUKU14L,88.18,0.003964,6.70
5069,GUAKZ23L,127.04,0.003996,8.68
5070,BOACB12L,32.19,0.000000,3.92
5071,ILDEL23L,75.00,0.000000,6.69
5072,KUBUKB2L,99.60,0.000000,7.70
5073,KRTBA32L,45.98,0.000000,5.62
5074,BOACB17L,3.03,0.000000,1.49
5075,KRYAN33L,55.05,0.000000,5.85
5076,ILIMA11L,60.75,0.000000,5.51
5077,CEKOK21L,8.73,0.000000,2.30
5078,PALRE23L,21.51,0.000000,3.07
5079,KONTF22L,58.07,0.000000,6.43
5080,KRACY11L,10.71,0.001016,2.51
5081,KRKOS22L,24.41,0.000000,3.97
5082,BOVAL27L,436.61,0.001994,12.45
5083,MVTRA12L,21.70,0.000000,3.12
5084,DAYOL37L,113.14,0.022940,7.96
5085,YALKE17L,281.79,0.000996,13.55
5086,TULIM35L,10.81,0.000000,2.49
5087,CESDH16L,41.45,0.000996,5.96
5088,BOACB13L,7.03,0.000997,2.00
5089,CESDE27L,165.38,0.000997,10.10
5090,TORGI22L,158.32,0.000998,8.96
5091,MANDR27L,239.05,0.000998,10.90
5092,KRTBC17L,133.97,0.000997,8.83
5093,ALGCY17L,78.24,0.002991,6.55
5094,GUBOD13L,42.09,0.000997,5.27
5095,CEALA21L,64.14,0.000997,5.23
5096,BOHEK12L,187.19,0.001997,9.38
5097,CECIF17L,165.40,0.016923,9.87
5098,YAHLI33L,53.47,0.000997,5.25
5099,YAHLI32L,77.82,0.000998,6.53
5100,KARYS23L,40.17,0.000998,5.22
