,Cell,MSE,Passed,MAPE
1659,KORYB21L,38.35,0.008031,5.01
1660,RAHAT13L,50.41,0.000000,5.83
1661,BOASA27L,64.71,0.004521,6.69
1662,KRCVZ12L,52.32,0.005985,5.72
1663,KUCBU15L,9.04,0.006888,2.63
1664,KARNE13L,58.70,0.010091,5.17
1665,KSMED21L,7.19,0.008020,1.98
1666,KARFT11L,27.98,0.000000,3.96
1667,BOKAC12L,22.72,0.008023,3.39
1668,KRKAP24L,27.82,0.008014,4.21
1669,BODES31L,8.33,0.000000,2.09
1670,KORAG37L,47.72,0.008022,5.47
1671,CWFUN32L,422.83,0.000000,15.49
1672,KSYAM13L,17.84,0.000000,3.50
1673,SWCV213L,61.59,0.002021,5.83
1674,ORYAH14L,159.86,0.000000,9.60
1675,GUNDGB4L,76.00,0.009629,7.32
1676,KRSMT72L,604.51,0.008024,19.66
1677,KRTFK14L,28.55,0.000000,4.30
1678,KRTUS13L,101.87,0.000000,8.06
1679,CESOS17L,687.63,0.000000,21.68
1680,KRCKC37L,91.82,0.000000,8.37
1681,GUBAI44L,142.44,0.000000,9.46
1682,KRTSUD2L,59.99,0.008024,6.24
1683,HARES14L,141.69,0.010100,8.55
1684,TURVC23L,9.86,0.000000,2.81
1685,CEPAS26L,96.59,0.000000,7.88
1686,KRANAC2L,291.49,0.008044,12.98
1687,KRTCI37L,18.68,0.008020,3.36
1688,AYANA12L,86.15,0.000000,7.28
1689,BODTT14L,40.70,0.000000,5.08
1690,ALCGI36L,357.08,0.008046,16.80
1691,KRDODA7L,1226.21,0.000000,14.18
1692,AKTEK12L,367.83,0.000998,15.56
1693,YACOK14L,61.50,0.002020,5.93
1694,BODAG37L,22.09,0.008043,3.42
1695,YASAH11L,10.11,0.001140,2.30
1696,CESBO31L,38.78,0.010042,4.10
1697,MUCAM27L,103.39,0.000000,7.99
1698,SENSI22L,54.75,0.000000,5.66
1699,YAHLI25L,47.19,0.001061,5.27
1700,BOYAH31L,24.05,0.000000,3.28
1701,YAHLI24L,81.21,0.010033,7.12
1702,YAHAK21L,28.91,0.000000,3.67
1703,KAHAM23L,27.15,0.002011,4.14
1704,KRANA21L,23.94,0.000000,3.96
1705,KRTOF74L,567.30,0.000000,18.15
1706,KONCK23L,24.32,0.002019,3.93
1707,CEALA13L,86.16,0.010055,7.29
1708,KRTNE13L,65.71,0.002110,5.62
1709,KRYAN11L,16.23,0.008023,2.84
1710,KRTZE21L,3.31,0.008020,1.36
1711,SOYAC37L,19.50,0.010102,3.20
1712,ALYNS17L,296.56,0.000000,13.30
1713,BODMA11L,75.25,0.000000,6.89
1714,MAGIC23L,119.44,0.002047,8.47
1715,SMART13L,9956.47,0.002023,92.30
1716,KRANA72L,169.81,0.000000,9.52
1717,ORZUB27L,8.13,0.010100,2.28
1718,KRKBR31L,17.12,0.002017,2.86
1719,KRYSA23L,24.95,0.001855,3.86
